ID_Produk,Bulan,Produk_Variasi,Stok_Awal,Total_Jumlah,Stok_Akhir,Pending,Stok_Status
1,2023-01,Baby Walker Merk Sugar Baby - Warna Biru,76,1,75,0,Overstock
2,2023-01,Baby Walker Merk Sugar Baby - Warna Pink,16,1,15,0,Kurang Optimal
3,2023-01,Buku Jurnal Bayi Merk My Baby Journal - Tidak ada variasi,1,1,0,0,Optimal
4,2023-01,"Diapers Renang Anak Merk WyethUs - Warna Biru, Ukuran L",80,25,55,0,Overstock
5,2023-01,"Diapers Renang Anak Merk WyethUs - Warna Biru, Ukuran M",97,24,73,0,Overstock
6,2023-01,"Diapers Renang Anak Merk WyethUs - Warna Biru, Ukuran XL",79,8,71,0,Overstock
7,2023-01,"Diapers Renang Anak Merk WyethUs - Warna Pink, Ukuran L",20,11,9,0,Kurang Optimal
8,2023-01,"Diapers Renang Anak Merk WyethUs - Warna Pink, Ukuran M",18,3,15,0,Kurang Optimal
9,2023-01,Handuk Renang Anak Hoodie Ponco - Tidak ada variasi,1,1,0,0,Optimal
10,2023-01,"Kartu Ucapan Kado Bayi - Kartu Ucapan, Boy",64,2,62,0,Overstock
11,2023-01,"Kartu Ucapan Kado Bayi - Kartu Ucapan, Girl",61,1,60,0,Overstock
12,2023-01,"Kartu Ucapan Kado Bayi - Kertas Kado, Boy",96,8,88,0,Overstock
13,2023-01,Kertas Kado Bayi - Tidak ada variasi,1,3,0,2,Understock
14,2023-01,Softbook Edukasi Bayi Motif Hewan - Motif Doggie,1,1,0,0,Optimal
15,2023-01,Toilet Training Seat Merk Sugar Baby - Warna Biru,82,2,80,0,Overstock
16,2023-01,Toilet Training Seat Merk Sugar Baby - Warna Pink,51,1,50,0,Overstock
17,2023-02,8in1 Gift Parcel Bayi Import - Usia 3–6 Bulan,6,1,5,0,Kurang Optimal
18,2023-02,Baju Renang Anak Premium Motif Karakter - Tidak ada variasi,1,1,0,0,Optimal
4,2023-02,"Diapers Renang Anak Merk WyethUs - Warna Biru, Ukuran L",104,4,100,0,Overstock
5,2023-02,"Diapers Renang Anak Merk WyethUs - Warna Biru, Ukuran M",8,10,0,2,Understock
6,2023-02,"Diapers Renang Anak Merk WyethUs - Warna Biru, Ukuran XL",67,10,57,0,Overstock
7,2023-02,"Diapers Renang Anak Merk WyethUs - Warna Pink, Ukuran L",52,20,32,0,Overstock
8,2023-02,"Diapers Renang Anak Merk WyethUs - Warna Pink, Ukuran M",89,9,80,0,Overstock
19,2023-02,"Diapers Renang Anak Merk WyethUs - Warna Pink, Ukuran XL",85,5,80,0,Overstock
9,2023-02,Handuk Renang Anak Hoodie Ponco - Tidak ada variasi,74,2,72,0,Overstock
10,2023-02,"Kartu Ucapan Kado Bayi - Kartu Ucapan, Boy",62,2,60,0,Overstock
14,2023-02,Softbook Edukasi Bayi Motif Hewan - Motif Doggie,15,1,14,0,Kurang Optimal
5,2023-03,"Diapers Renang Anak Merk WyethUs - Warna Biru, Ukuran M",1,6,0,5,Understock
6,2023-03,"Diapers Renang Anak Merk WyethUs - Warna Biru, Ukuran XL",3,3,0,0,Optimal
19,2023-03,"Diapers Renang Anak Merk WyethUs - Warna Pink, Ukuran XL",38,1,37,0,Overstock
11,2023-03,"Kartu Ucapan Kado Bayi - Kartu Ucapan, Girl",1,1,0,0,Optimal
20,2023-03,"Kartu Ucapan Kado Bayi - Kertas Kado, Girl",1,1,0,0,Optimal
14,2023-03,Softbook Edukasi Bayi Motif Hewan - Motif Doggie,1,1,0,0,Optimal
21,2023-03,Softbook Edukasi Bayi Motif Hewan - Motif Owl,1,1,0,0,Optimal
22,2023-03,Softbook Mandi Bayi Motif Hewan Import - Motif Farm,1,1,0,0,Optimal
23,2023-03,Softbook Mandi Bayi Motif Hewan Import - Motif Land Animal,17,1,16,0,Kurang Optimal
15,2023-03,Toilet Training Seat Merk Sugar Baby - Warna Biru,40,1,39,0,Overstock
16,2023-03,Toilet Training Seat Merk Sugar Baby - Warna Pink,1,2,0,1,Understock
