Tanggal,Nama Libur,Tahun
1/1/2023,Tahun Baru Masehi,2023
1/22/2023,Tahun Baru Imlek 2574 Kongzili,2023
2/18/2023,Isra Mi'raj Nabi Muhammad SAW,2023
3/22/2023,Hari Raya Nyepi 1945 Saka,2023
4/7/2023,Wafat Isa Almasih,2023
4/22/2023,Hari Raya Idul Fitri 1444 H,2023
4/23/2023,Hari Raya Idul Fitri 1444 H,2023
5/1/2023,Hari Buruh Internasional,2023
5/18/2023,Kenaikan Isa Almasih,2023
6/1/2023,Hari Lahir Pancasila,2023
6/4/2023,Hari Raya Waisak 2567 BE,2023
6/29/2023,Idul Adha 1444 H,2023
7/19/2023,Tahun Baru Islam 1445 H,2023
8/17/2023,Hari Kemerdekaan RI,2023
9/28/2023,Maulid Nabi Muhammad SAW,2023
12/25/2023,Hari Raya Natal,2023
1/1/2024,Tahun Baru Masehi,2024
2/8/2024,Isra Mi'raj Nabi Muhammad SAW,2024
2/10/2024,Tahun Baru Imlek 2575 Kongzili,2024
3/11/2024,Hari Suci Nyepi 1946 Saka,2024
3/29/2024,Wafat Isa Almasih,2024
4/10/2024,Hari Raya Idul Fitri 1445 H,2024
4/11/2024,Hari Raya Idul Fitri 1445 H,2024
5/1/2024,Hari Buruh Internasional,2024
5/9/2024,Kenaikan Isa Almasih,2024
5/23/2024,Hari Raya Waisak 2568 BE,2024
6/1/2024,Hari Lahir Pancasila,2024
6/17/2024,Idul Adha 1445 H,2024
7/7/2024,Tahun Baru Islam 1446 H,2024
8/17/2024,Hari Kemerdekaan RI,2024
9/15/2024,Maulid Nabi Muhammad SAW,2024
12/25/2024,Hari Raya Natal,2024
