Kode Produk,Nama Produk,Kode Variasi,Nama Variasi,Harga,Stok
29907931767,Baju set 5in1 giftset bayi kemasan tile bonus hanger baby hampers parcel kado babyshop depok bisa gos3nd,2.33E+11,"Pink jerapah,Newborn",119500,0
29907931767,Baju set 5in1 giftset bayi kemasan tile bonus hanger baby hampers parcel kado babyshop depok bisa gos3nd,2.33E+11,"Abu dino,0-3 bln",119500,8
29907931767,Baju set 5in1 giftset bayi kemasan tile bonus hanger baby hampers parcel kado babyshop depok bisa gos3nd,2.33E+11,"Biru kapal,0-3 bln",119500,8
29907931767,Baju set 5in1 giftset bayi kemasan tile bonus hanger baby hampers parcel kado babyshop depok bisa gos3nd,2.33E+11,"Biru kapal,Newborn",119500,0
29907931767,Baju set 5in1 giftset bayi kemasan tile bonus hanger baby hampers parcel kado babyshop depok bisa gos3nd,2.33E+11,"Pink gajah,0-3 bln",119500,8
29907931767,Baju set 5in1 giftset bayi kemasan tile bonus hanger baby hampers parcel kado babyshop depok bisa gos3nd,2.33E+11,"Abu dino,Newborn",119500,8
29907931767,Baju set 5in1 giftset bayi kemasan tile bonus hanger baby hampers parcel kado babyshop depok bisa gos3nd,2.33E+11,"Pink gajah,6-9 bln",119500,1
29907931767,Baju set 5in1 giftset bayi kemasan tile bonus hanger baby hampers parcel kado babyshop depok bisa gos3nd,2.33E+11,"Abu dino,6-9 bln",119500,0
29907931767,Baju set 5in1 giftset bayi kemasan tile bonus hanger baby hampers parcel kado babyshop depok bisa gos3nd,2.33E+11,"Pink jerapah,6-9 bln",119500,0
29907931767,Baju set 5in1 giftset bayi kemasan tile bonus hanger baby hampers parcel kado babyshop depok bisa gos3nd,2.33E+11,"Pink jerapah,3-6 bln",119500,0
29907931767,Baju set 5in1 giftset bayi kemasan tile bonus hanger baby hampers parcel kado babyshop depok bisa gos3nd,2.33E+11,"Abu dino,3-6 bln",119500,1
29907931767,Baju set 5in1 giftset bayi kemasan tile bonus hanger baby hampers parcel kado babyshop depok bisa gos3nd,2.33E+11,"Pink jerapah,0-3 bln",119500,8
29907931767,Baju set 5in1 giftset bayi kemasan tile bonus hanger baby hampers parcel kado babyshop depok bisa gos3nd,2.33E+11,"Biru kapal,6-9 bln",119500,8
