Bulan,Produk_Variasi,Total_Jumlah,Total_Harga_Setelah_Diskon,Total_Penjualan_IDR,Total_Pesanan,Penjualan_per_Pesanan,Produk_Dilihat,Total_Pengunjung,Tingkat_Konversi,Pesanan_Dibatalkan,Penjualan_Dibatalkan,Pesanan_Dikembalikan,Penjualan_Dikembalikan,Pembeli,Total_Pembeli_Baru,Total_Pembeli_Saat_Ini,Total_Potensi_Pembeli,Tingkat_Pembelian_Berulang,Voucher Ditanggung Shopee,Potongan Koin Shopee,Ongkos Kirim Dibayar oleh Pembeli,Estimasi Potongan Biaya Pengiriman,Ongkos Kirim Pengembalian Barang,Total Pembayaran,Perkiraan Ongkos Kirim,Harga Awal,Berat Produk,Total Berat,Voucher Ditanggung Penjual,ID_Produk,Stok_Awal,Stok_Akhir,Pending,Stok_Status,is_holiday_month,Stok_Status_Encoded,Year,Month,Quarter,DaysinMonth,Mean_Total_Jumlah_per_Product,MoM_Growth_Total_Jumlah,MoM_Growth_Total_Penjualan,Seasonal_Index,Price_Level,Stock_Turnover,Stock_Coverage,View_to_Sales_Ratio,Visitor_to_Sales_Ratio,Visitor_to_View_Ratio,Rolling_3M_Total_Jumlah,Rolling_3M_Penjualan,Rolling_3M_View,Trend_Total_Jumlah,Quarter_1,Quarter_2,Quarter_3,Quarter_4,Lag_1_Total_Jumlah,Lag_1_Penjualan,Lag_1_Views,Lag_1_Stock_Turnover,Lag_2_Total_Jumlah,Lag_2_Penjualan,Lag_2_Views,Lag_2_Stock_Turnover,Lag_3_Total_Jumlah,Lag_3_Penjualan,Lag_3_Views,Lag_3_Stock_Turnover,Month_Sin,Month_Cos,Price_View_Interaction,Stock_Demand_Interaction,Date_Index
2024-07,"5in1 Gift Set Bayi Motif Karakter - Motif Simba, Usia 0–3 Bulan",1,99500,99500,1,58538.083333333336,44,13,3.5625,0,0.0,0,0.0,1,1,1,3,0.0,11.725,0,0.0,24.0,0,223.469,24.0,99.5,400,800,0,93.0,2.0,1.0,0.0,Kurang Optimal,True,0,2024,7,3,31,1,0.0,0.0,1.0,1.0,0.6666666666666666,1.0,44.0,13.0,0.29545454545454547,1.0,99500.0,44.0,0.0,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,44.0,13.0,2024-07
2024-11,"8in1 Gift Parcel Bayi Import - Motif Bulan, Usia 6–9 Bulan",1,141000,141000,1,66266.86083333334,54,18,3.2074999999999996,1,11.599178624429477,0,0.0,1,1,1,4,8.333333333333334,7.05,0,8.8,40.0,0,144.75,48.8,141.0,400,400,0,118.0,5.0,4.0,0.0,Kurang Optimal,False,0,2024,11,4,30,1,0.0,0.0,1.0,1.0,0.2222222222222222,4.0,54.0,18.0,0.3333333333333333,1.0,141000.0,54.0,0.0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,54.0,72.0,2024-11
2024-10,"8in1 Gift Parcel Bayi Import - Motif Bunga, Usia 0–3 Bulan",1,139000,139000,1,93430.91833333333,32,9,9.75,1,3.6801705451438993,0,0.0,1,1,1,2,0.0,6.95,0,0.0,17.0,0,134.371,17.0,139.0,400,400,0,106.0,1.0,0.0,0.0,Optimal,False,1,2024,10,4,31,1,0.0,0.0,1.0,1.0,2.0,0.0,32.0,9.0,0.28125,1.0,139000.0,32.0,0.0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,32.0,0.0,2024-10
2024-12,"8in1 Gift Parcel Bayi Import - Motif Dino Biru, Usia 0–3 Bulan",1,140000,140000,1,79938.45833333333,150,39,2.7525,1,101.80781653618867,0,0.0,1,1,1,11,0.0,14.445,5,0.0,18.0,0,279.912,18.0,140.0,400,1440,0,123.0,1.0,0.0,0.0,Optimal,True,1,2024,12,4,31,1,0.0,0.0,1.0,1.0,2.0,0.0,150.0,39.0,0.26,1.0,140000.0,150.0,0.0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4492935982947064e-16,1.0,150.0,0.0,2024-12
2023-11,"8in1 Gift Parcel Bayi Import - Motif Gajah Hijau, Usia 0–3 Bulan",1,135000,135000,1,65147.0225,51,20,5.86,1,15.771009819515767,1,5.683782865663157,1,1,1,4,2.0833333333333335,0.0,0,0.0,8.5,0,270.356,8.5,135.0,400,800,0,40.0,9.0,8.0,0.0,Kurang Optimal,False,0,2023,11,4,30,1,0.0,0.0,1.0,1.0,0.11764705882352941,8.0,51.0,20.0,0.39215686274509803,1.0,135000.0,51.0,0.0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,51.0,160.0,2023-11
2024-04,"8in1 Gift Parcel Bayi Import - Motif Gajah Hijau, Usia 3–6 Bulan",1,135000,135000,1,80241.0,34,11,7.059166666666667,1,8.15052708501947,0,0.0,1,1,1,2,8.333333333333334,0.0,0,0.0,11.0,0,136.0,11.0,135.0,400,400,0,71.0,16.0,15.0,0.0,Kurang Optimal,True,0,2024,4,2,30,1,0.0,0.0,1.0,1.0,0.06451612903225806,15.0,34.0,11.0,0.3235294117647059,1.0,135000.0,34.0,0.0,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,34.0,165.0,2024-04
2023-12,"8in1 Gift Parcel Bayi Import - Motif Gajah Hijau, Usia 6–9 Bulan",1,135000,135000,2,76015.9225,118,48,2.8616666666666664,1,52.899827996824555,0,0.0,2,1,1,5,0.0,2.7,85,0.0,35.0,0,138.504,35.0,135.0,400,400,0,46.0,18.0,17.0,0.0,Kurang Optimal,True,0,2023,12,4,31,1,0.0,0.0,1.0,1.0,0.05714285714285714,17.0,118.0,48.0,0.4067796610169492,1.0,135000.0,118.0,0.0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4492935982947064e-16,1.0,118.0,816.0,2023-12
2024-01,"8in1 Gift Parcel Bayi Import - Motif Gajah Hijau, Usia 6–9 Bulan",1,135000,135000,1,57323.194166666675,65,23,4.8516666666666675,0,0.0,0,0.0,1,1,1,4,0.0,2.7,85,0.0,35.0,0,138.504,35.0,135.0,400,400,0,46.0,68.0,67.0,0.0,Overstock,True,2,2024,1,1,31,1,0.0,0.0,1.0,1.0,0.014814814814814815,67.0,65.0,23.0,0.35384615384615387,1.0,135000.0,91.5,1.0,True,False,False,False,1.0,135000.0,118.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,65.0,1541.0,2024-01
2023-11,"8in1 Gift Parcel Bayi Import - Motif Kelinci, Usia 0–3 Bulan",1,135000,135000,1,65147.0225,51,20,5.86,1,15.771009819515767,1,5.683782865663157,1,1,1,4,2.0833333333333335,0.0,0,0.0,8.5,0,270.356,8.5,135.0,400,800,0,41.0,11.0,10.0,0.0,Kurang Optimal,False,0,2023,11,4,30,1,0.0,0.0,1.0,1.0,0.09523809523809523,10.0,51.0,20.0,0.39215686274509803,1.0,135000.0,51.0,0.0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,51.0,200.0,2023-11
2023-12,"8in1 Gift Parcel Bayi Import - Motif Kelinci, Usia 0–3 Bulan",1,135000,135000,1,76015.9225,119,47,2.8616666666666664,1,52.899827996824555,0,0.0,1,2,1,5,0.0,0.0,0,0.0,8.5,0,270.356,8.5,135.0,400,800,0,41.0,1.0,0.0,0.0,Optimal,True,1,2023,12,4,31,1,0.0,0.0,1.0,1.0,2.0,0.0,119.0,47.0,0.3949579831932773,1.0,135000.0,85.0,1.0,False,False,False,True,1.0,135000.0,51.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4492935982947064e-16,1.0,119.0,0.0,2023-12
2023-12,"8in1 Gift Parcel Bayi Import - Motif Kelinci, Usia 3–6 Bulan",2,270000,270000,2,76015.9225,237,95,2.8616666666666664,2,105.79965599364911,0,0.0,2,4,1,10,0.0,0.0,33750,0.0,37.0,0,102.25,37.0,135.0,400,400,0,47.0,19.0,17.0,0.0,Kurang Optimal,True,0,2023,12,4,31,2,0.0,0.0,1.0,1.0,0.1111111111111111,8.5,118.5,47.5,0.4008438818565401,2.0,270000.0,237.0,0.0,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4492935982947064e-16,1.0,237.0,807.5,2023-12
